Organizations,About,Technology,Category,Topics
52° North GmbH,52°North works on innovative ideas and technologies in geoinformatics,"java, android, javascript,  python, react",Science and Medicine,"web services, floating car data, ogc standards, trajectory analytics"
AboutCode.org,"Find the origin, license and vulnerabilities of your code and deps."," python, c/c++, rust,  javascript,  postgresql",Programming Languages and Development Tools,"dependencies, license-scan, application security, software analysis, machine learning"
Academy Software Foundation (ASWF),Open source foundation for film industry projects.,"c/c++,  python",Graphics / Video / Audio / Virtual Reality,"2d/3d graphics, cloud computing, file formats, color management, filmmaking"
Accord Project,Linux Foundation’s open source project for smart legal contracts.," javascript,  react, coq, ocaml, compiler",Programming Languages and Development Tools,"smart contracts, legal, blockchain, compilers, ai"
AerospaceResearch.net,making space together,"python, vhdl, raspberry pi, sqlite, c++",Science and Medicine,"cubesats, space applications, software defined radio, distributed computing, simulations"
afl++,Making fuzzing more effective every day,"fuzzing, c/c++, qemu, llvm, sanitizers",Security,"bug finding, software testing, fuzzing"
Amahi,Making Home Networking and Storage Simple,"ruby on rails,  javascript,  android, golang, swift",Operating Systems,"operating systems,  networking,  web servers, streaming, mobile-apps"
Android Graphics Tools Team,Providing excellent tools for graphics developers and driver makers,"vulkan, opengl, c/c++, java, python 3",Programming Languages and Development Tools,"developer tools, 2d/3d graphics, debugging, profiling, bug finding"
AnitaB.org Open Source,Women transform technology. Technology transforms the world.,"ios,  android, python, javascript",Other,"mobile,  web, mobile programming, web programming"
AOSSIE,Australian Umbrella Org for Open-Source Projects,"javascript, swift, kotlin, python",End User Applications,"electronic voting, natural language processing, machine learning, environment, social science"
Apertium,A free/open-source machine translation platform,"c++, bash, python, xml",Other,"machine translation, natural language processing, less-resourced languages"
apertus° Association,Open Technology for Professional Film Production,"fpga, vhdl, c/c++, linux, embedded",Graphics / Video / Audio / Virtual Reality,"camera, vision, computational photography, image processing, digital imaging"
appleseed,A modern open source rendering engine for animation and visual effects,"c++11, python, opengl",Graphics / Video / Audio / Virtual Reality,"computer graphics, image synthesis, rendering, animation, simulation"
Arduino,Open source electronic prototyping platform,"arduino, golang, c/c++",Programming Languages and Development Tools,"electronics,  robotics, interactivity"
ArduPilot,"The world's most versatile, trusted and open autopilot","drones, python, robotics, linux, c/c++",Other,"vision, robotics, embedded systems, real-time os, drones"
BeagleBoard.org,Open hardware community driven single board computers - Linux at the edge,"linux,  tensorflow,  python,  javascript,  opencv",Programming Languages and Development Tools,"robotics, iot, teaching, real-time, embedded"
BioGears,ARA is an employee-owned scientific research and engineering company.," c++11, c/c++,  python, cmake",Science and Medicine,"physiology, pharmacological modeling, computational biology, mathematical software"
Blender Foundation,We build a free and open source 3D creation suite.,"c, c++, python, opengl, vulkan",Graphics / Video / Audio / Virtual Reality,"3d, graphics, virtual reality, animation, artist tools"
Boost C++,Boost provides free peer-reviewed portable C++ source libraries," c++17, c++11, c++",Programming Languages and Development Tools,"programming libraries, c++, peer-reviewed libraries, c++ standard"
BRL-CAD,"We make solid modeling, 3D printing, & other computer-aided technologies (CAx)","opencl, c/c++, python, tcl/tk, opengl",Graphics / Video / Audio / Virtual Reality,"data visualization, 3d cad geometry, ray tracing, solid modeling, real-time computer graphics"
caMicroscope,Toolkit for cancer imaging research,"javascript,  python,  java,  medical imaging,  tensorflow",Science and Medicine,"science and medicine,  data integration,  distributed systems,  cloud,  precision medicine"
Canadian Centre for Computational Genomics,Analytical solutions for Next-Generation Sequencing data,"python, r-project, javascript, react, nodejs",Science and Medicine,"bioinformatics, data science, visualization, statistics, web development"
Casbin,"Authorization library that supports access control models like ACL, RBAC, ABAC","go,  javascript, react, rust, python",Security,"security, front-end, web, cloud, authorization"
Catrobat,Computational thinking for all with free visual coding apps," java,  android, swift, ios, php",Programming Languages and Development Tools,"visual programming, app development, gaming, creativity tools, education"
CCExtractor Development,"Tools to make the world more accessible. ML/AI, Rust, Flutter, peer-to-peer...","c, python, ml, flutter, rust",Graphics / Video / Audio / Virtual Reality,"vision, ai, media, linux, bittorrent"
