Organizations,About,Technology,Category,Topics
Netfilter project,"Firewalling, NAT and packet mangling for Linux","c, linux kernel",Operating Systems,"network security, software defined networking, network monitoring"
NumFOCUS,"Promoting open practices in research, data, and scientific computing.","python,  javascript, c/c++, r",Science and Medicine,"scientific computing, numerical computation, graphics, data science, pydata"
NV Access,Empowering lives through non-visual access to technology,"python, c++, ui automation, iaccessible2, win32 api",Other,"accessibility, blindness, screen reader, braille, text to speech"
Open Astronomy,Opening the eyes of research astronomy software to the whole world.,"python, julia, c++, numba",Science and Medicine,"visualisation, astronomy, solar physics, high energy astrophysics, orbital mechanics"
Open Bioinformatics Foundation,Promoting practice & philosophy of OSS & Open Science in biological research.,"python, perl, java, javascript, biojs",Science and Medicine,"computational biology, bioinformatics"
Open Chemistry,Advancing Open Source and Open Science for Chemistry,"c++, python, opengl, javascript, html",Science and Medicine,"chemistry, graphics,  scientific visualization, data science"
Open Data Kit,Open Data Kit is used to collect data for social good in difficult environments.,"android,  java",End User Applications,"mobile,  global development,  global health,  social good"
Open Roberta,Open Roberta® Lab is an online IDE introducing kids to program robots with NEPO®," java,  javascript",Programming Languages and Development Tools,"education,  web, visual programming, robotics"
Open Source Robotics Foundation,"Open source software for use in robotics research, education and industry","ros, gazebo, c++, python",Programming Languages and Development Tools,robotics
Open Technologies Aliance - GFOSS,Promote Openness through use and development of Open Standards and Open Source,"python,  javascript, gtk, qt, arduino",Programming Languages and Development Tools,"robotics, programming languages, open education, c- c+, java"
OpenCV,Open Source Computer Vision and Deep Learning Library,"c++, python",Graphics / Video / Audio / Virtual Reality,"vision, machine learning, robotics, deep learning"
OpenMRS,Write code. Save lives.," java,  javascript, spring, mysql,  android",Science and Medicine,"science and medicine, open source, medical record, developing countries"
OpenStreetMap,Creating and distributing free geographic data for the world.," javascript, ruby,  java,  c/c++",Data and Databases,"gis, geoinformatics, maps, crowdsourcing, open data"
OpenWISP,A Hackable Network Management System for the 21st Century,"python, django, javascript, ansible, openwrt",End User Applications,"networking, wifi, iot, configu, telecom"
Oppia Foundation,"Collaborative tools for creating free, effective and enjoyable online lessons","angularjs, python, javascript, app engine, css",Web,"education, web development, interactive, tools, community"
OSGeo,The Open Source Geospatial Foundation," c/c++,  python, sql, open source databases,  java",Other,"gis, maps, geoinformatics,  geolocation, computer vision"
OWASP Foundation,"OWASP, The Open Web Application Security Project.","python,  java, javascript, php",Security,"appsec, application security, secure development, sdlc, security"
PEcAn Project,"Ecosystem science, policy, and management informed by the best  data and models","r, python, postgresql,  docker, singularity",Science and Medicine,"ecosystem models, ecological forecasting,  scientific visualization, data science,  climate science"
Percona,Unbiased open source database experts.,"mysql, postgresql, prometheus, javascript, selenium",Data and Databases,"database optimization, metrics, testing, monitoring, databases"
Performance Co-Pilot,Performance Co-Pilot - system-level performance analysis toolkit,"python, redis, c, linux, javascript",Operating Systems,"high performance computing, kernel, performance, visualization, web development"
Pharo Consortium,The immersive programming experience,"pharo, squeak, smalltalk, ide, os",Programming Languages and Development Tools,"web development, data science, nlp, material design, cli"
phpMyAdmin,A web interface for MySQL written in PHP,"php, mysql, bootstrap, javascript, cakephp",Data and Databases,"mysql, developer, administrator, database, web applications"
Pitivi,Allowing everyone on the planet to express themselves through filmmaking,"python 3, gtk, gstreamer, c",Graphics / Video / Audio / Virtual Reality,"filmmaking, video editing, video processing"
PostgreSQL,The World's Most Advanced Open Source Database,"postgresql, sql, rdbms, c",Data and Databases,"data, database, big data"
Project PANOPTES,Discover New Worlds,"python 3, arduino, cloud",Science and Medicine,"astronomy, robotics, exoplanet, image processing"
Public Lab,Open hardware and software to help communities measure and analyze pollution,"ruby on rails, javascript, node.js, raspberry pi",Science and Medicine,"science, environment, collaboration, community, hardware"
Purr Data,Visual Programming Language for Realtime Multimedia,"javascript, node.js,  html5,  c/c++",Programming Languages and Development Tools,"real-time system, audio, digital signal processing, video, data visualization"
Python Software Foundation,Python is a programming language used by software developers and scientists.,python,Science and Medicine,"programming languages, science"
QEMU,Open source machine emulator and virtualizer,"linux, kvm, c, virtualization",Cloud,"emulator, hypervisor, lowlevel, code generation"
