Organizations,About,Technology,Category,Topics
TimVideos.us,"Software & hardware for recording + streaming conferences, meetings, user groups","python, verilog, vhdl, c, fpga",Graphics / Video / Audio / Virtual Reality,"hardware,  embedded, video, fpga"
Tokio,The asynchronous run-time for the Rust programming language.,"tokio_rs, rust",Programming Languages and Development Tools,"rust, networking, windows, concurrency"
Tungsten Fabric,"Secure software defined networking for any cloud, anywhere.","linux, kubernetes,  python, networking,  c/c++",Cloud,"software defined networking, routing, security, multicloud"
UCSC Xena,Helping biologists see the bigger picture in diverse cancer genomics data,"javascript,  python,  clojure,  react",Science and Medicine,"genomics, cancer research,  scientific visualization, bioinformatics"
VideoLAN,VideoLAN is a team of volunteers believing in FOSS to rock the multimedia world.,"c, opengl, qt, assembly, c++",Graphics / Video / Audio / Virtual Reality,"video, multimedia, codecs, web, graphics"
webpack,webpack is THE build tool for modern web applications run on NodeJS,"javascript, web development, webasssembly, node.js, html5/css3",Web,"programming languages and development tools, tooling, toolchains, compilers, parser"
Wikimedia Foundation,Global movement whose mission is to bring free educational content to the world,"php, javascript, html, css, python",Web,"wikipedia, wikimedia, mediawiki, semantic web, i18n"
X.Org Foundation,"X Window System and related projects (Mesa, DRI, Wayland, etc.)","opengl, vulkan, x11, wayland, opencl",Graphics / Video / Audio / Virtual Reality,"graphics stack, 3d acceleration, media acceleration, 2d acceleration, windowing system"
Xapian Search Engine Library,"Fast, scalable and flexible search","c++, unicode, swig, linux",Data and Databases,"search, information retrieval, machine learning, linguistics, indexing"
Xi Editor,A modern text editor with a backend written in Rust.,"rust, swift",End User Applications,"ide, end user application, text editor"
XMPP Standards Foundation (XSF),Secure and federated communication with open standards,"asynchronous i/o, lua, xmpp, java, python 3",Social / Communications,"instant messaging, realtime communications, machine-to-machine, internet of things, xmpp"
xpra,"screen for X11, remote access for MS Windows and Mac OS","python, javascript, c",Graphics / Video / Audio / Virtual Reality,"remote-access, video, desktop, seamless"
XWiki,The Advanced Open Source Enterprise Wiki,"java,  javascript,  html5,  css3,  velocity",Web,"web development,  wiki,  platform,  web applications,  structured data"
Zulip Open Source Project,"Powerful, modern, open source team chat, complete with apps for every platform.","python, react native, django, javascript, electron",Social / Communications,"bots, mobile, visual design, chat, great developer tooling"
ZynAddSubFX,An open source musical software synthesizer with a wide range of possibilities," c/c++, ruby, midi, open-sound-control, opengl",Graphics / Video / Audio / Virtual Reality,"audio, digital signal processing,  visualization, music, user experience"
