,Organizations,About,Technology,Category,Topics
0,52°North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics,"javascript, java, ogc standards, web services",Science and Medicine,"spatial data, sensor web, web-based geoprocessing, earth observation, geoinformatics"
1,aimacode,"Code to accompany the book ""AI: A Modern Approach""","python, java, javascript",Programming Languages and Development Tools,"artificial intelligence, education"
2,AOSSIE - The Australian National University's Open-Source Software Innovation and Education,Research-Intensive Open-Source Projects at Australia's Leading University,"scala, lisp, llvm, python, postgresql",Science and Medicine,"logic, live programming, data analysis, health, privacy"
3,Apache Software Foundation,Providing open source software to the public free of charge,"java, ruby, python, javascript, couchdb",,"cloud, ddd, dsl, database, web"
4,ArchC,ArchC is an Architecture Description Language,"c++, python, archc",Programming Languages and Development Tools,"computer architecture, processor design, simulators"
5,ASCEND,Equation-solving software for engineering system modelling,"python, c, c/c++",Science and Medicine,"engineering, simulation, system modelling, mathematical software, solver"
6,BeagleBoard.org,open hardware physical computing community with Linux,"beaglebone, javascript, python, linux, c",,"robotics, iot, real time, physical computing, coprocessing"
7,Beam Community,"From distributed systems, to robust servers and language design on the Erlang VM","erlang, elixir, xmpp, beam, mqtt",Programming Languages and Development Tools,"messaging, real time, cloud, scalability"
8,Berkman Center for Internet and Society,An interdisciplinary university-wide research center focused on the Internet,"ruby on rails, javascript, sql/nosql, meteor.js, go",,"censorship, education, internet freedom, digital rights, law and policy"
9,BioJS,BioJS is an open source project that visualizes biological data using JavaScript,"javascript, python",Science and Medicine,"javascript, bioinformatics, life sciences, coding standards, visualization"
10,"Biomedical Informatics, Emory University",Big Data for Healthcare and Biomedical Research,"java, medical imaging, deep learning, hadoop, python",Science and Medicine,"cloud, web platform and services, precision medicine, big data visualization, data fusion"
11,Blender Foundation,We make a 100% free/open source 3D creation pipeline.,"c, c++, python, opengl",Graphics / Video / Audio / Virtual Reality,"3d, tools, animation, games, rendering"
12,Boston University / XIA,Crowdsourcing the future Internet,"xia, c, linux kernel, advanced data structures",Cloud,"computer networking, future internet architecture, research"
13,BRL-CAD,"We develop solid modeling, CAD, CAM, & other computer-aided technologies (CAx)","opencl, opengl, c/c++, python, tcl",Graphics / Video / Audio / Virtual Reality,"cad, geometry, 3d, ray tracing, visualization"
14,BuildmLearn,Building m-Learning applications,"python, django, bootstrap, android",End User Applications,"mlearning, mobile app, web apps, education"
15,Canadian Centre for Computational Genomics (C3G) - Montreal node,Analytical solutions for Next-Generation Sequencing data,"python, r-project, javascript, sql, git",Science and Medicine,"bioinformatics, visualization, statistics, genomics, population genetics"
16,Catrobat,Our apps empower teens to visually create their own apps directly on their phone,"android, java, html5, web, javascript",Programming Languages and Development Tools,"education, programming tools, robotics, web applications, scratch"
17,cBioPortal for Cancer Genomics,Open source software solutions of precision medicine for cancer patients,"java, javascript, web, html, big data",Science and Medicine,"cancer, genomics, bioinformatics, precision medicine, biology"
18,CCExtractor Development,The de-facto standard tool for everything related to subtitles.,"c, video, ffmpeg, subtitles, linux",Graphics / Video / Audio / Virtual Reality,"media analysis, database, subtitles, decoder, video"
19,Celluloid,Painless multi-threaded multi-core programming for Ruby.,"ruby, multi-threading, multi-core, zeromq, high-resolution timers",Programming Languages and Development Tools,"concurrency, parallel, evented, distributed, actor model"
20,Ceph,The Future of Storage,"c/c++, python, object-storage",Data and Databases,"network storage, cloud, distributed systems"
21,CERN SFT,The SFT is part of CERN (European Organization for Nuclear Research).,"c++, python, javascript, clang",Science and Medicine,"numerical and data analysis software, simulation software, cloud, machine learning"
22,Chapel,a Productive Parallel Programming Language,"python, chapel, c, c++, high performance computing",Programming Languages and Development Tools,"programming languages, compilers, high performance computing, distributed computing, parallel computing"
23,CiviCRM,"Contact relationship management for non-profits, NGOs and advocacy organizations","php, javascript, mysql, angularjs, d3js",Social / Communications,"civic technology, crm, fundraising, events management, membership management"
24,Classical Language Toolkit,NLP for the ancient world,"python, javascript, java",,"natural language processing, web, machine translation, machine learning, human language technologies"
25,CloudCV,CloudCV - Large Scale Distribution Vision algorithms as a Cloud Service,"python, javascript, lua, caffe, torch",Cloud,"computer vision, deep learning, machine learning"
26,Computational Biology @ University of Nebraska-Lincoln,Development of software technologies for biomedical research and applications.,"webgl, javascript, mysql, react",Science and Medicine,"image analysis, computational biology, systems biology, networks, real time"
27,Computational Science and Engineering at TU Wien,We bundle TU Wien's open source efforts in the area of science and engineering,"javascript, html, css, java, c++",Science and Medicine,"science and enineering, internet of things, visualization, simulation, mesh generation"
28,Copyleft Games,"Tools, libraries, and engines to help in game development","python, opengl, c",Programming Languages and Development Tools,developer tools
29,coreboot,fast and flexible Open Source firmware,"c, assembly, open hardware",Operating Systems,"firmware, drivers, hardware, embedded systems, real time"
30,CVXPY,CVXPY is a Python-embedded modeling language for convex optimization problems.,python,,"convex optimization, optimization, dsl"
