,Organizations,About,Technology,Category,Topics
31,D Foundation,The D Foundation leads development of the D Programming Language.,"dlang, c++",Programming Languages and Development Tools,compilers
32,dbpediaspotlight,"Information Extraction framework from Wikipedia, Wikidata & Commons","java, scala, rdf, python, nosql",Data and Databases,"natural language processing, big data, semantic web, data science"
33,Debian Project,The Universal Operating System,"python, c, c++, ruby, django",Operating Systems,"web, operating systems, continuous integration"
34,Discourse,A next-generation discussion forum.,"ruby, ruby on rails, javascript, ember, docker",Social / Communications,"forum, communication, email, web applications"
35,Distributed and Unified Numerics Environment (DUNE),DUNE is a modular toolbox for solving PDEs with grid-based methods.,"c++, python, cmake",Science and Medicine,"partial differential equations, physics, mathematics, high performance computing, scientific computing"
36,Django Software Foundation,The web framework for perfectionists with deadlines.,"python, django",,web development
37,Drupal,"Drupal is a Free, Open, Modular CMS written in PHP. Websites, databases, +more","php, symfony, sql, javascript, html5",,"web development, content management, object-oriented, cms"
38,Eclipse Foundation,Eclipse is a community who collaborates on open source software.,"java, geospatial, c/c++",Programming Languages and Development Tools,"java, eclipse"
39,Fedora Project,Lead the advance of Free/Open Source Software/Content as collaborative community,"python, flask, postgresql, html5, javascript",Operating Systems,"web development, metrics, realtime messaging, contributor activity, community architecture"
40,FFmpeg,Cross-platform software to convert audio and video.,"c, asm, git",Graphics / Video / Audio / Virtual Reality,"audio, video, image, compression, multimedia"
41,FOSDEM VZW,The organization that handles all aspects of the FOSDEM conference,"ruby on rails, postgresql, git",Programming Languages and Development Tools,"web, programming tools, programming, programming languages, ruby"
42,FOSSASIA,Open Technologies for Social Change,"javascript, android, python, java, json api",,"web, mobile, graphics, fashiontech, json"
43,Free and Open Source Silicon Foundation,"Free and Open Source Digital Designs and their Ecosystem, EDA Tools and OpenRISC","open hardware, fpga, compiler, python, javascript",,"digital design, compilers, eda tools, debug, embedded systems"
44,FreeBSD,FreeBSD: The Foundation of the Internet,"c/c++, clang, llvm, shell script, make",Operating Systems,"virtualization, embeddded, kernel, cloud, security"
45,Freifunk,Freifunk is a non-commercial initiative for free and open wireless networks.,"openwrt, olsr, batman, c, lua",Social / Communications,"mesh, wifi, routing protocols, user interface, monitoring"
46,Gambit - Software Tools for Game Theory,Software for Analysis of Game Theory Models,javascript,Science and Medicine,"game theory, academic projects, graphics"
47,Ganeti,Cluster virtual server management software,"python, haskell, kvm, xen, virtualization",,"virtualization, automation"
48,"Genes, Genomes and Variation",Ensembl Genome Browsers,"mysql, javascript, perl",Science and Medicine,"bioinformatics, databases, data visualisation, web platform and services"
49,Gentoo Foundation,"A flexible, source-based Linux distribution.","shell script, c/c++, python, perl, sql",Operating Systems,"virtualization, security, linux, embeddded, operating systems"
50,Git,"fast, scalable, distributed revision control system","c, shell script, git",Programming Languages and Development Tools,"version control, dvcs"
51,GitHub,How people build software,"git, atom, node.js, ruby, c#",,"git, version control, editor, collaboration"
52,Global Alliance for Genomics & Health,GA4GH develops open standards and tools for genomics to benefit human health,"python, java, protobuf, sql",Science and Medicine,"genomics, big data, standards, apis, data sharing"
53,GNOME,"Ease, comfort and control","c, python, javascript, gtk+",End User Applications,"desktop environment, desktop applications"
54,gnss-sdr,GNSS-SDR is an open source Global Navigation Satellite Systems software receiver,"c/c++, c++11, c++14, gnss",Social / Communications,"communications, geolocation, navigation, software defined radio"
55,GNU Mailman,Mailman is free software for managing electronic mailing lists.,"python, email, django",Social / Communications,"mailing lists, communication"
56,GNU Octave,GNU Octave : Free Your Numbers.,"hg, c++",Programming Languages and Development Tools,"mathematics, numerical computation, numerical and data analysis software, matlab, data processing"
57,GNU Project,The GNU Operating System,"posix, c, lisp, python, eiffel",Operating Systems,"operating systems, free software"
58,GNU Radio,The Free and Open Software Radio Ecosystem,"c++, python, software radio, dsp, rf",Science and Medicine,"software defined radio, cognitive radio, spectrum analysis, information theory, signal processing"
59,GPAC,GPAC - Multimedia Open-Source Project,"mp4, dash, mp4box, javascript, c++",Graphics / Video / Audio / Virtual Reality,"streaming, research, industry, playback, multimedia"
60,Green Navigation,"Routing Service for finding the shortest, fastest and most energy efficient way.","javascript, postgresql, polymer, go, electromobility",End User Applications,"web applications, mobile, database, algorithm prototyping/visualization, routing"
61,gRPC,"A high performance, open source, general RPC framework.","distributed systems, networking, micro-services, scalability, http/2",Cloud,"cloud, micro services, full stack web and mobile, distributed systems, apis"
62,Health Information Systems Programme,Health information system which is being used by 47 countries across world.,"java, android, javascript, reactjs, gradle",,"mobile, data processing, gis, e-health, global health and development"
63,Homebrew,Package management software for OS X.,"ruby, git, osx",,"package system, homebrew"
64,Inclusive Design Institute,The IDI addresses the challenge of designing ICT to work for all potential users,"javascript, jquery, html5, css, node.js",End User Applications,"accessibility, inclusivity, web applications, web"
65,Indic Project,Improving Information Infrastructure and Access to Knowledge in Indian languages,"android, python, javascript, ruby on rails, c++",End User Applications,"natural language processing, language techology, input methods"
66,Inkscape,"Inkscape is a professional vector graphics editor for Windows, OS X, and Linux.","c++, python, svg, css, gtk+",Graphics / Video / Audio / Virtual Reality,"graphics, web"
67,International Neuroinformatics Coordinating Facility,Advancing global collaborative brain research,"c++, python, gpu, javascript, java",Science and Medicine,"neuroscience, data science, simulation, visualization, big data"
68,Java Pathfinder Team,JPF is a highly extensible Java virtual machine built for sofware verification,"java, jvm, android, distributed systems",Programming Languages and Development Tools,"program analysis, testing, verification, model checking, environment generation"
69,JBoss Community,Community of Java projects around JBoss Middleware,"java, android, ide, aerogear, asciidoctor",Programming Languages and Development Tools,"testing, monitoring, enterprise applications, mobile, eclipse"
70,Jenkins Project,Jenkins is an open-source automation server,"java, groovy, jenkins, css, html",Programming Languages and Development Tools,"automation, continuous integration, continuous delivery, java, development"
71,Joomla!,"A Free and Open Source CMS, Trusted By Millions for their Websites","php, css, html, javascript, jquery",,"cms, object-oriented, mvc, web"
72,jQuery Foundation,"jQuery Foundation - home of jQuery, Dojo and many other JavaScript libraries","javascript, html5, css, jquery",,"unit testing, software testing, framework development, user interface components, event handling"
73,JSK Robotics Laboratory,JSK Robotics Laboratory / The University of Tokyo,"euslisp, openhrp, openrtm, ros",Science and Medicine,robotics
74,KDE,KDE is an international technology team that creates user-friendly software,"qt, cmake, c++, php",Other,"desktop applications, mobile, education, graphics, wiki"
75,KolibriOS,KolibriOS Project team,"fasm, flat assembler, x86 assembly, i386, i586",Operating Systems,"desktop, operating systems, drivers, hardware, lowlevel"
76,LabLua,LabLua - Lua programming language research lab at PUC-Rio,"lua, luarocks, elasticsearch, netbsd, céu",Programming Languages and Development Tools,"programming languages, operating systems, distributed systems, scripting"
77,LibreOffice,LibreOffice is a powerful cross-platform office suite.,"c++, python, java, android, opengl",End User Applications,"office suite, cloud, big project"
78,Libvirt,Stable API for easier virtualization.,"c, qemu, xen, containers",Cloud,"cloud, virtualization"
79,Liquid Galaxy Project,Liquid Galaxy Project: wraparound open-source immersion!,"javascript, ros, gis, cesium",Graphics / Video / Audio / Virtual Reality,"virtual reality, geospatial, graphics"
80,lowRISC,Creating a fully open-source SoC design,"verilog, fpga, chisel, c++, linux",,"embedded hardware, system-on-chip, security, education, debug"
81,MariaDB,One of the most popular databases on the web with many notable users,"mysql, mariadb, c, perl",Data and Databases,"databases, database"
82,Matrix.org,"An ambitious opensource project creating a new, decentralised comms ecosystem.","react, android, ios, golang, python",Social / Communications,"real time, communications, collaboration, interoperability, iot"
83,"MBDyn, Department of Aerospace Science and Technology at Politecnico di Milano",MBDyn is a multidisciplinary Multibody Dynamics scientific simulation software.,c++,Science and Medicine,"physics, engineering, simulation, robotics, real time"
84,McGill Space Institute,Center bringing together scientists doing space-related research at McGill,"python, sql, databases, big data",Science and Medicine,"space, astronomy"
85,MetaBrainz Foundation,We curate data and make it freely available!,"python, perl, postgresql, javascript",Data and Databases,"music, metadata, machine learning, big data, books"
86,Mifos Initiative,End Poverty One Line of Code at a Time,"java, javascript, angularjs, android, mysql",End User Applications,"fintech, financial inclusion, cloud, big data, mobile"
87,MIT Media Lab,Build Your own Android Apps!,"java, html/javascript, android",End User Applications,"educational technology, education"
88,Mixxx DJ Software,"DJ Your Way, For Free. Join our friendly community of hackers, DJs, and artists!","c++11, c++, qt, audio, opengl",Graphics / Video / Audio / Virtual Reality,"real time, audio, dj, music"
89,mlpack: a scalable C++ machine learning library,a scalable C++ machine learning library,c++,Science and Medicine,"machine learning, data mining, fast algorithms"
90,Mobile Robot Programming Toolkit (MRPT),Mobile Robot Programming Toolkit: empowering C++ development in robotics,"c++, ros, opencv, cmake, qt",Science and Medicine,"robotics, selfdriving, slam, mobile robots, vision"
91,ModSecurity,ModSecurity cross platform web application firewall,"waf, web application firewall",Security,web application security
92,Moodle,The world's open source learning platform,"php, jquery, mysql, postgresql, javascript",Social / Communications,"education, web applications, e-learning, school systems, learning management"
93,MovingBlocks,Terasology: like an open source Minecraft - imagine the possibilities!,"java, lwjgl, opengl, blender, gradle",End User Applications,"game, voxel, minecraft, sandbox, modding"
94,Mozilla,We're building a better Internet,"c++, python, javascript, html, rust",,"web, mozilla, firefox, internet"
95,MuseScore,"MuseScore: Create, play and print beautiful sheet music","qt, c/c++, qml",Graphics / Video / Audio / Virtual Reality,"music, notation, midi, musicxml, sheet music"
96,National Resource for Network Biology (NRNB),Developing open source software to enable network-based biomedical discovery,"c++, java, javascript, php, python",Science and Medicine,"dataviz, web, bioinformatics, systems biology, biology"
97,Netfilter project,Netfilter project,"firewall, linux kernel, networking",Operating Systems,"firewall, linux kernel, networking"
98,Nmap Security Scanner,Swiss Army knife of network discovery and security auditing,"c/c++, lua, python, c, c++",Security,"security, networking, ipv6, linux, network mapping"
99,NumFOCUS,NumFOCUS promotes open source scientific software.,"python, javascript, julia, r",Science and Medicine,"scientific computing, graphics, data science, numerical computation"
100,Open Bioinformatics Foundation,Supporting OSS and Open Science in the biological research community.,"perl, python, ruby, java, haskell",Science and Medicine,bioinformatics
101,Open Chemistry,Open source chemistry software libraries and tools,"c++, opengl, python, javascript, webgl",Science and Medicine,"chemistry, materials science, graphics, visualization"
102,Open Detection,Open Detection is a open source project for object detection and recognition.,"c/c++, cmake, opencv, pcl, caffe",,"computer vision, machine learning"
103,Open Ephys,Open-source electrophysiology,"c++, juce",Science and Medicine,"neuroscience, electrophysiology, visualization, ui, signal processing"
104,Open Genome Informatics,Open Genome Informatics represents the efforts of many bioinformatics projects.,"python, java, html/javascript, nodejs, gwt",Science and Medicine,"bioinformatics, data visualisation, genome, computational biology, databases"
105,Open Source Robotics Foundation,"Open source software for use in robotics research, education, and industry.","ros, gazebo",Programming Languages and Development Tools,"robotics, simulation, middleware"
106,OpenAstronomy,Confederation of open source projects in Astronomy,"python, julia, c, numpy",Science and Medicine,"science, astronomy, solar physics, atomic physics, visualization"
107,OpenCV,Open Source Computer Vision and Machine Learning Library,"c++, python, machine learning, computer vision",Graphics / Video / Audio / Virtual Reality,"computer vision, machine learning, robotics, virtual reality, real time"
108,OpenKeychain (OpenPGP for Android),OpenKeychain: Easy PGP for Android,"android, openpgp",Security,"security, e-mail, encryption"
109,OpenMRS,Write code. Save lives.,"java, groovy, html5, xml, hibernate",Science and Medicine,"medical records, health, clinics, ehealth, hospitals"
110,OpenStreetMap,OpenStreetMap - Creating and distributing free geographic data for the world.,"postgis, java, ruby, javascript, opengl",Data and Databases,"gis, maps, crowdsourcing, geoinformatics"
111,openSUSE,"openSUSE Linux - The makers' choice for sysadmins, developers and desktop users","ruby on rails, angularjs, docker, linux, ruby",Operating Systems,"linux, virtualization, web development, configuration management"
112,Oppia Foundation,Oppia is used for collaboratively building interactive and intelligent tutors.,"javascript, app engine, python, css, angularjs",,"education, web, interactive, tools, educational technology"
113,Orange – Data Mining Fruitful & Fun,"A cross-platform, visual-programming tool for data mining and visualization.","python, cython, qt, machine learning",Science and Medicine,"machine learning, visualization, data mining, bioinformatics, gui toolkit"
114,OSGeo - The Open Source Geospatial Foundation,The Open Source Geospatial Foundation,"python, sql, c, ogc standards, c++",,"gis, science, maps, cartography, geospatial"
115,OSU Open Source Lab,OSU Open Source Lab,"python, rest, javascript, ruby",,"virtualization, infrastructure"
116,OWASP Foundation,"OWASP, The Open Web Application Security Project.","python, php, javascript, java, html",Security,"appsec, security, application security, sdlc, secure development"
117,ownCloud,A safe home for all your data,"javascript, php, css, html, sql",End User Applications,"web, cloud, synchronized, data sharing"
118,P2PSP.org,Shaping the future Internet TV,"python, c++, webrtc, android, ios",,"live streaming, networking, security, p2p, multimedia"
119,Peragro,Digital Assets Managed Neatly,"python, blender, javascript, celery, django",,"analyzing, transcoding, pipeline automation, games, web"
120,Performance Co-Pilot,Performance Co-Pilot - system-level performance analysis toolkit,"golang, ruby, java, linux kernel, javascript",Operating Systems,"monitoring, data analysis, visualization, high performance computing, realtime messaging"
121,Physical Web Project,The Physical Web Project develops use cases around Google's the Physical Web IoT,"internet of things, beacons, python, arduino",,"internet of things, mobile, web apps"
122,PLASMA-UMass,"PLASMA explores ways to make programming languages faster, safer, and easier.","javascript, c/c++, scala, go",Programming Languages and Development Tools,"programming languages, programming tools, software engineering, operating systems, runtime systems"
123,Plone Foundation,The premier python-based content management system,"python, zope, javascript, rest, nosql",,"content management, enterprise applications"
124,Portland State University,Portland State University,"open hardware, language-agnostic",,"new projects, academic projects, individual projects"
125,PRISM Model Checker,PRISM is a tool for formally verifying the correctness of probabilistic systems.,"java, c++",Science and Medicine,"science, verification, probabilistic models"
126,Public Lab,Open hardware and software to help communities measure and analyze pollution,"javascript, ruby on rails, leaflet, webrtc",Science and Medicine,"environment, pollution, science, hardware, community"
127,Python Software Foundation,Python is programming language popular among scientists and more.,"python, mercurial",Science and Medicine,"image analysis, biology, physics, mathematics, hardware"
128,QEMU,Open source machine emulator and virtualizer,"c, assembly, kvm",,"virtualization, compilers, operating systems, emulation"
129,R project for statistical computing,R is a free software environment for statistical computing and graphics,"r, c, c++, fortran",Programming Languages and Development Tools,"data science, visualization, statistics, graphics, machine learning"
130,radare,radare is a reverse engineering framework and toolset,"c, rust",Security,"reverse engineering, disassembly, decompilation, security, assembly"
131,ReactOS,"ReactOS is a free, open source, Windows compatible operating system.","c/c++, c",Operating Systems,"operating systems, drivers, desktop, kernel, windows"
132,Red Hen Lab,Red Hen Lab: Research on Multimodal Communication,"high performance computing, machine learning, opencv, audio procesing, multimodal analysis",Science and Medicine,"natural language processing, co-speech gesture, big data visualization, deep learning, multimedia"
133,Robocomp,A framework for creating and modifying software components for robotics.,"c++, python, zeroc ice, cmake, gnu/linux",,"robotics, framework, computer vision"
134,RTEMS Project,Open Source Deterministic Real-Time Operating System for Embedded Systems,"c, python, waf, embedded systems",Operating Systems,"real time, posix"
135,Ruby,"The Ruby programming language, libraries, and tools",ruby,Programming Languages and Development Tools,programming languages
136,Ruby Science Foundation,Tools for Scientific Computing in Ruby,"ruby, c programming, jruby, c/c++",Science and Medicine,"visualization, data, math, science, space"
137,Sage Mathematical Software System,open-source mathematical software system,"python, javascript, cython, c++",Science and Medicine,"mathematics, combinatorics, math, mathematical software, science"
138,Scala,The programming language where object-oriented meets functional.,"scala, jvm",Programming Languages and Development Tools,"compilers, programming tools, functional programming, programming languages"
139,Scilab Enterprises,Numerical computation IDE for engineering and scientific applications,"scilab, c++, java, c, fortran",Science and Medicine,"engineering, mechanics, vision, graphics, user interface"
140,ScummVM,ScummVM is a GSoC umbrella for game preservation projects,"c++, sdl, opengl, assembly",End User Applications,"software preservation, games, game engines"
141,Shogun Machine Learning Toolbox,Unified and efficient Machine Learning.,"c++, python, swig, cmake",Science and Medicine,"machine learning, statistics, fast algorithms, software engineering, bioinformatics"
142,Sigmah,Open source information management software for international aid projects,"java, gwt",End User Applications,"humanitarian, hfoss, project-management"
143,Soletta Project,Soletta Project is an open source framework for making IoT applications,"c, python, javascript, networking, machine learning",Programming Languages and Development Tools,"internet of things, portable, robotics, drones, makers"
144,Stony Brook University Biomedical Informatics,Biomedical Informatics at Stony Brook University,"medical imaging, bioinformatics, hadoop, big data",Science and Medicine,"imaging, genomics, database"
145,strace,linux syscall tracer,"linux, c, git, shell script, make",Operating Systems,"linux, syscall, tracing, c, git"
146,Sugar Labs,Learning software for children,"python, javascript, gtk+",End User Applications,"education, programming"
147,Sustainable Computing Research Group ( SCoRe ),"SCoRe has conducted research covering various aspects of Security, Mobile & IOT.","java, android, hadoop, python, golang",End User Applications,"iot, security, mobile, forensic, cloud with google computer engine"
148,SymPy,Computer algebra system in Python,"python, c++",Science and Medicine,"math, science, mathematics, physics, computer algebra"
149,"Systers, an Anita Borg Institute Community",Increasing the number of women in computing fields and technology.,"python, android, ios, mysql, ruby on rails",,"women in tech, systers, women in open source"
150,TARDIS-SN,Unravelling Cosmic Explosions in Style,"python, cython, c",Science and Medicine,"astronomy, monte carlo methods, radiative transfer, global optimization"
151,TEAMMATES @ National University of Singapore,An online feedback management system for education,"java, app engine, javascript, css, html",,"education, web development, cloud, learning management, software as a service"
152,The Apertium Project,A free/open-source rule-based machine translation platform,"c++, python, perl, xml, finite-state technologies",Social / Communications,"machine translation, computer-aided translation, morphological analysis, natural language processing, human language technologies"
153,The Center for Connected Learning and Computer-Based Modeling,NetLogo: A language and IDE for programming and scientific simulations,"javascript, scala, java, html5, css",Programming Languages and Development Tools,"simulation, programming languages, education, science, research"
154,The Honeynet Project,The Honeynet Project - R&D for honeypot/honeynet technolgy and infosec research,"android, machine learning, honeypots, python, html/javascript",Security,"honeynet, honeypot, security, web development, sandbox"
155,The Julia Language,The Julia Language,"julia, atom, c++, javascript, c",Programming Languages and Development Tools,"statistics, linear algebra, data science, numerical computation, integrated development environments"
156,The Linux Foundation,A non-profit consortium dedicated to fostering the growth of Linux,"c, c++, python, mysql, cups",Operating Systems,"kernel, printing, lsb, wireless, spdx"
157,The LLVM Compiler Infrastructure,The LLVM Compiler Infrastructure,"c, c++, llvm, clang",Programming Languages and Development Tools,"compiler, backend, frontend, optimization, static code analysis"
158,The Monarch Initiative,An informatics platform for translational disease research,"semantic web, javascript, text mining, named entity recognition, ontologies",End User Applications,"embeddable widget, rare disease, data refinement"
159,The NetBSD Foundation,of course it runs NetBSD,"bsd, security, networking, c programming, kernel",Operating Systems,"operating systems, package system"
160,The STE||AR Group,The STE||AR Group - Shaping a Scalable Future,"parallel processing, high performance computing, c++, cuda, opencl",Programming Languages and Development Tools,"runtime systems, parallel computing, high performance computing, hpx, gpu"
161,The syslog-ng project,Open source log management solution with over a million users worldwide.,"c, java, python, big data, rust",Security,"log management, message queue, data extraction, message correlation, continuous delivery"
162,The Tor Project,"Anonymity, privacy, and anti-censorship software","c, javascript, golang, python, browser extensions",Security,"privacy, security, anonymity, anti-censorship, research"
163,The Wine Project,"Wine runs Windows applications on Linux, BSD, Solaris and Mac OS X.","c, opengl, directx, x11, win32",,"compatibility, desktop integration"
164,Timelab Technologies Ltd.,We help scientists understanding information in time-series,"python, javascript",End User Applications,"astronomy, algorithm prototyping/visualization, mathematics, time series"
165,TimVideos.us,TimVideos.us - FOSS event recording & streaming software and hardware.,"vhdl, verilog, fpga, python, c",Graphics / Video / Audio / Virtual Reality,"embedded hardware, live streaming, video capture"
166,Unitex/GramLab,"Unitex/GramLab is an open source, multilingual corpus processing suite","java, c++",Programming Languages and Development Tools,"natural language processing, local grammars, finite state automata, corpus annotation, multilingual language resources"
167,"Urban Energy Systems Laboratory, Empa",HUES is a platform for modeling & simulation of decentralized energy systems,"python, milp, gis",Science and Medicine,"energy, simulation, data analysis"
168,Vert.x,Vert.x is a tool-kit for building reactive applications on the JVM.,"java, reactive, javascript, groovy, micro-services",Programming Languages and Development Tools,"micro services, high performance computing"
169,VideoLAN / VLMC Project,"A non-linear video editor, based on VLC technology.","opengl, c++, c, assembly, qt",Graphics / Video / Audio / Virtual Reality,"video, multimedia, editor, editing, non-linear"
170,vitrivr,vitrivr allows you to use novel methods to search in videos,"java, web, computer vision, machine learning, databases",Data and Databases,"multimedia retrieval, databases"
171,Wayland,Wayland is a protocol for windowing systems on both desktops and embedded,"opengl, wayland, c, xml, kms",Graphics / Video / Audio / Virtual Reality,"graphics, window system, display, video"
172,Wikimedia Foundation,A global movement with a mission to bring free educational content to the world,"php, javascript, html, css, jquery",,"mediawiki, wiki, web, i18n, input methods"
173,WSO2,Open Source Middleware Platform,"middleware, java, soa, distributed computing, web services",,"cloud, data analysis, security, micro services"
174,X.Org Foundation,"X Window System and related projects (Mesa, DRI, Wayland, etc.)","c, c++, opengl, vulkan, opencl",Graphics / Video / Audio / Virtual Reality,graphics
175,Xapian Search Engine Library,"Fast, scalable and flexible search","c++, unicode, swig, android, golang",Data and Databases,"search, information retrieval, machine learning, linguistics, integration"
176,XWiki,Generic web platform for developing collaborative apps on the wiki paradigm,"java, javascript, html5, css3, velocity",,"web development, web platform and services, wiki, platform, extensions"
177,Zulip Open Source Project,Zulip: Powerful open source group chat,"python, javascript, django, android, ios",Social / Communications,"group chat, high quality codebase, full stack web and mobile"
