Organizations,About,Technology,Category,Topics
3DTK,The 3D Toolkit provides algorithms and methods to process 3D point clouds,"c/c++,  cmake, opencv, ros, boost",Science and Medicine," 3d, point clouds, slam, robotics, mapping"
52° North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics,"javascript,  java, spring, r, big data",Science and Medicine,"geoinformatics, geoprocessing, remote sensing, geostatistics, sensor web"
AerospaceResearch.net,making space together,"python, c/c++, vhdl, boinc,  java",Science and Medicine,"cubesats, space applications, software defined radio, distributed computing, simulations"
aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach"""," python,  java,  javascript, ai, jupyter",Programming Languages and Development Tools,"artificial intelligence, machine learning, education"
Amahi,"Amahi, a home digital assistant at your fingertips.","ruby on rails, golang, swift, javascript, android",Operating Systems,"media server, storage server, streaming,  web apps, front-end"
AOSSIE - Australian Open Source Software Innovation and Education,Australian Umbrella Org for Open-Source Projects,"scala, isabelle proof assistant, browser extension, javascript/html5/css3, android/ios",Web,"logic, electronic voting, philosophy, environment, natural language processing"
Apache Software Foundation,Providing open source software to the public free of charge,"c, java, erlang",Other,"other, cloud, libraries, big data"
Apertium,A free/open-source platform for machine translation and language technology,"c++, python, xml, fsts",Other,"machine translation, language technology, grammar, natural language processing"
Apertus Association,Open Technology for Professional Film Production,"fpga, embedded, linux, c/c++, vhdl",Graphics / Video / Audio / Virtual Reality,"vision, camera, cinematography, digital imaging, photography"
appleseedhq,A modern open source rendering engine for animation and visual effects,"c/c++, qt",Graphics / Video / Audio / Virtual Reality,"graphics, rendering, physics, mathematics, high performance"
ArduPilot,The worlds most advanced open source autopilot,"drones, python, linux, c/c++, robotics",End User Applications,"vision, robotics, embedded systems, real-time os, drones"
BeagleBoard.org Foundation,Open hardware and software for physical computing,"linux, gcc, real-time, physical computing, iot",Programming Languages and Development Tools,"robotics, ros, audio, iot, interfaces"
Beam Community,"From distributed systems, to robust servers and language design on the Erlang VM","erlang, xmpp",Programming Languages and Development Tools,"distributed computing, real time, distributed databases, iot, instant messaging"
BeeWare Project,Tools for cross-platform Python application development.,"python, ios, android, javascript,  java",Programming Languages and Development Tools,"mobile, cross desktop, app development"
Berkman Klein Center for Internet & Society at Harvard University,"Exploring cyberspace, sharing in its study, and helping pioneer its development.","ruby on rails, meteor.js, elasticsearch, javascript, elk",Other," web,  research, education, internet freedom, internet censorship"
Blender Foundation,We build a free and open source 3D creation suite.,"c, c++, python, opengl, opencl",Graphics / Video / Audio / Virtual Reality,"animation, rendering, 3d, games, simulation"
Boost C++ Libraries,Boost provides free peer-reviewed portable C++ source libraries,"c++11, c++14, c++, c++17",Programming Languages and Development Tools,"c++ development, c++ tools, c++ standardization, software engineering"
Boston University / XIA,Crowdsourcing the future Internet,"xia, linux kernel, c, advanced data structures,  ddos",Cloud,"computer networking, future internet architecture, research"
BRL-CAD,"Solid modeling, 3D printing, comp. graphics, & other computer-aided tech (CAx)!","c/c++, qt, opengl, opencl, tcl/tk",Graphics / Video / Audio / Virtual Reality,"cad, geometry, 3d, graphics user interface, software visualization"
Canadian Centre for Computational Genomics,Analytical solutions for Next-Generation Sequencing data,"r, perl, awk, bash, python",Science and Medicine,"bioinformatics, data science, next-generation sequencing, visualization, statistics"
Catrobat,Computational Thinking for all through visual programming on phones,"java, android, ios, espresso",Programming Languages and Development Tools,"programming language, app development, education, scratch"
CCExtractor Development,"Experimenting with video software and hardware, subtitles, imaging, cloud...","c, python, arduino, node.js, c#",Graphics / Video / Audio / Virtual Reality,"media, subtitles, video, accesibility, language"
Center for Research In Open Source Software (CROSS) at UC Santa Cruz,Bridging the Gap Between Student Work and Open Source Software Projects,"ceph, hadoop, c++, javascript,  python",Other,"distributed networks, reproducibility, storage systems, big data, opendata"
CERN-HSF,Umbrella organization for Particle (High-energy) Physics-related projects,"c/c++, python, data analysis, machine learning, parallelization",Science and Medicine,"particle physics, high-energy physics, physics, big data, machine learning"
CGAL Project,C++ library of computational geometry and geometry processing,"c++, github, git",Science and Medicine,"computational geometry, geometry, mesh processing, arrangement, webhook"
CHAOSS: Community Health Analytics Open Source Software,Advacing open source project health and sustainability,"python 3,  javascript",End User Applications,"data visualization, visualization, machine learning"
Checker Framework,"Preventing programming errors before they happen, via easy-to-use verification",java,Programming Languages and Development Tools,"programmer productivity, software engineering, verification, bug finding"
CiviCRM LLC,"Build, engage and organize your constituents","php, mysql, angularjs, d3.js",End User Applications,"civil society, contacts&calendar sync"
Classical Language Toolkit,NLP for the Ancient World," python,  javascript",Other,"natural language processing,  web"
"CLiPS, University of Antwerp",Computational (Psycho)Linguistics,"python, javascript, mongodb",Data and Databases,"natural language processing, machine learning, artificial intelligence, text analytics, text generation"
Cloud Native Computing Foundation (CNCF),Sustaining open source cloud native projects like Kubernetes and Prometheus,"kubernetes, prometheus, grpc, docker, golang",Cloud,"cloud, container, monitoring, logging"
CloudCV,Building platforms for reproducible AI research,"machine learning, deep learning, computer vision, artificial intelligence, cloud",Cloud,"python,  tensorflow,  django,  angularjs,  react"
coala,Linting and Fixing Code for All Languages,"django, python 3, antlr, emberjs, reactjs",Programming Languages and Development Tools,"code analysis, chatops, devops, language server, dependency management"
Computational Biology @ University of Nebraska-Lincoln,"Further knowledge in health through computation, data visualization and analysis","javascript, webgl, reactjs, flask",Science and Medicine,"biological networks, bioinformatics, network simulation, computational biology, omics data"
Conversations.im,An open source instant messaging client and ecosystem based on Jabber & XMPP,"java, android, xmpp, gtk, javascript",Social / Communications,"instant messaging, mobile, desktop, web"
Cuneiform Digital Library Initiative,International digital library of artifacts inscribed with cuneiform writing,"python, mariadb, rdf, php, nltk",Data and Databases,"natural language processing, machine translation, information retrieval, linguistics, semantic web"
DBpedia,"An Open Platform for a Large, Multilingual, Semantic Knowledge Graph","rdf, scala, sparql",Data and Databases,"knowledge graph, data extraction, data analytics"
Debian Project,the universal operating system,"javascript,  ruby,  java,  python, c/c++",Operating Systems,"operating system, packaging, applications, community, communications"
Developers Italia,An open community digital public services developers,"python, ruby, node.js,  java, c/c++",Other,"government, open data, identity, data-science"
Digital Impact Alliance,Supporting open source projects for a digital society that serves everyone.,"android, java, php,  python,  javascript",End User Applications,"humanitarian, international, social good, charity, health"
Django Software Foundation,The web framework for perfectionists with deadlines.,"python, django",Web,"web development, web, web applications"
Drupal,"Drupal is a Free, Open, Modular CMS written in PHP. Let's make something amazing","web, web development, content management system, cms, object-oriented",Web,"php, symfony, sql, javascript, drupal 8"
Earth Science Information Partners (ESIP),Making Earth science data matter.," kubernetes,  dask,  xarray,  python, javascript",Data and Databases,"earth data, semantics, discovery, data visualization, earth science"
Elastic,"We are the creators of Elasticsearch, Kibana, Beats, and Logstash."," java, golang, node.js, react, jruby",Data and Databases,"data analytics, data visualization, monitoring, search, logging"
Eta,Eta is a dialect of Haskell on the Java Virtual Machine.,"haskell, jvm,  java",Programming Languages and Development Tools,"functional-programming, runtime systems, compilers, programming-tools"
Fedora Project,"Fedora Linux is built on the foundations of Freedom, Friends, Features, & First","linux, python, git, postgresql, ansible",Operating Systems,"linux distribution, desktop, community, web development, server"
FFmpeg,"A complete, cross-platform solution to record, convert & stream audio and video.","c, asm, git",Graphics / Video / Audio / Virtual Reality,"audio, video, multimedia, subtitles"
FOSSASIA,Improve People's Lives,"java, javascript, python, android, artificial intelligence",Web,"web development, artificial intelligence, personal assistants"
FOSSology,Open Source License Compliance by Open Source Software,"php, postgresql, lamp, linux, c/c++",Other,"licensing, open source, license compliance, compliance, spdx"
Free and Open Source Silicon Foundation,"The home for open source hardware, EDA tools and the related ecosystem","fpga, verilog, c, chisel, synthesis",Other,"open hardware, debugging, eda tools, web community"
Free UK Genealogy,Human transcription of family history data,"mongodb, ruby on rails, mysql, python,  css/html",Data and Databases,"ai, machine learning,  ui/ux,  web apps, open data"
FreeBSD,FreeBSD: The Foundation of the Internet,"c/c++, llvm,  shell script, assembly, make",Operating Systems,"virtualization,  kernel, cloud, embedded systems, security"
FreeType,A software library to render fonts.,"c, gnu make, gnu autotools, python, fonts",Graphics / Video / Audio / Virtual Reality,"fonts, truetype, opentype, graphics, rendering"
freifunk,Freifunk is a non-commercial initiative for free and open wireless networks.,"openwrt, javascript, html, c,  python",Social / Communications,"network, wireless, web applications,  embedded systems, software-defined networking"
"Genes, Genomes and Variation",Genomic sequence and annotation databases and browsers,"perl, mysql, java script",Science and Medicine,"data visualization, genomics, database, bioinformatics"
GENIVI Alliance,Developing open software for IVI and the connected car.,"yocto, c/c++, java",Operating Systems,"automotive, diagnostics, functional safety, middleware"
Gentoo Foundation,"A flexible, source-based Linux distribution."," shell script, bash, c/c++,  python, linux",Operating Systems,"operating systems, package management, embedded systems, security, init systems"
GFOSS - Open Technologies Alliance,Promote Openness with the use and development of Open Standards & Open Source.,"python 3, php/javascript/html,  css/html, java, c/c++",Other,"python, gtk, java jsp, c++ tools, javascript"
Git,"Fast, scalable, distributed revision control system","c,  shell script,  git",Programming Languages and Development Tools,"version control, dvcs"
Global Alliance for Genomics and Health,We develop open standards and tools for genomics to benefit human health.,"java, python, cloud, c/c++, mongodb",Science and Medicine,"genomics, genetics, standards, bioinformatics, web"
GNOME,A free desktop environment for GNU/Linux.,"c, python,  javascript, gtk+, gobject",Operating Systems,"desktop, applications, end user applications, operating system"
GNSS-SDR,An open source Global Navigation Satellite Systems software-defined receiver,"c/c++, gnss, c++11, c++14",Science and Medicine,"gnss, navigation, digital signal processing, software defined radio, communications engineering"
GNU Compiler Collection (GCC),GCC,"c++, c, openmp",Programming Languages and Development Tools,compilers
GNU Octave,Free Your Numbers,"c++, hg",Programming Languages and Development Tools,"mathematics, numerical computation, matlab, scientific computing, numerical methods"
GNU Project,GNU is an operating system that is free software,"c, lisp, python",Operating Systems,"free software, operating system"
GNU Radio,The free & open software radio ecosystem,"c++, python, simd, qt",End User Applications,"software defined radio, real-time, communications engineering, cybersecurity, dsp"
Godot Engine,Godot is a multi-platform 2D and 3D game engine with a feature-rich editor,"c++, cpp, opengl, github, crossplatform",Graphics / Video / Audio / Virtual Reality,"game engine, gaming, game development, rendering, virtual reality"
gRPC,"A high performance, open-source universal RPC framework","grpc, microservices, distributed systems, cloud",Cloud,"microservices, communications, distributed networks, infrastructure, middleware"
Haiku,Integrated operating system for personal computers,"c++, webkit, ffmpeg, posix, bsd unix",Operating Systems,"desktop, network, kernel, graphics, media"
Haskell.org,"Standardized, statically typed, lazy functional programming language",haskell,Programming Languages and Development Tools,"functional-programming, programming languages"
Homebrew,"An open source, console package manager for macOS","ruby, git, macos, rspec, bash",Programming Languages and Development Tools,"package managers, macos, terminal applications, github"
INCF,Advancing global collaborative brain research,"python, c/c++, javascript, cuda, xml",Science and Medicine,"neuroscience, big data, brain simulation, brain imaging, visualization"
Inclusive Design Institute,The IDI addresses the challenge of designing ICT to work for all potential users,"javascript, html, css, node.js, php",End User Applications,"accessibility, inclusivity, web, web applications, web development"
Inkscape,"Inkscape is a professional vector graphics editor for Windows, Mac OSX, & Linux.","svg, css, c++11,  python, gtk+",Graphics / Video / Audio / Virtual Reality,"graphics, web, geometry"
Inria Foundation,SOFA is an efficient simulation engine for research in medical simulation.,"c/c++, qt, webassembly, asm, communication protocol",Science and Medicine,"medical simulation, medical research, physics, real-time, scientific computing"
Institute for Artificial Intelligence,Research in Artificial Intelligence for Autonomous Mobile Robots,"c++, python, ros, unreal engine, lisp",Science and Medicine,"artificial intelligence, robotics, simulation, unreal engine, perception"
Intel Media And Audio For Linux,"Open Source Media libraries, Applications,  User space driver and Specification.","video, codecs, hardware acceleration, va-api, c",Graphics / Video / Audio / Virtual Reality,"video decode, video encode, video post processing, hardware accelerated media processing, video apis"
InterMine,"Integrating biological data sources, making it easy to query and analyse data","postgresql,  java,  javascript, python, clojure",Science and Medicine,"biology, genomics, data science, open science, bioinformatics"
Internet Archive,Universal Access to All Knowledge,"pthon, javascript",Web,"web extensions, voice apps, web archiving"
Internet Systems Consortium,We support critical internet infrastructure with quality open source,"dhcp, c/c++, mysql, cassandra, rest",Operating Systems,"networking, stateful, infrastructure, ipv6"
JBoss Community,Community of Java projects around JBoss Middleware," java, android, ios, opentracing, apache kafka",Programming Languages and Development Tools,"testing, cloud, mobile development, javaee, microservices"
JdeRobot - Universidad Rey Juan Carlos,A software framework for developing applications in robotics and computer vision,"ros, python, c++, gazebo, opencv",Other,"robotics, computer vision, robot simulator, teaching"
Jenkins project,Jenkins is an open-source automation server," java, groovy,  javascript",Programming Languages and Development Tools,"devops, development tools, continuous integration"
JGraphT,Java library that provides graph data-structures and algorithms.,java,Programming Languages and Development Tools,"graphs, algorithms, data structures, mathematics, network analysis"
Jitsi,The most innovative Open Source video conferencing community. Period.,"java, javascript, webrtc, react, react native",Social / Communications,"real time communications, web, video conferencing, networking, multimedia"
Joomla!,"Joomla, the flexible platform empowering website creators.","php,  javascript, mysql, html5/css3, cms",Web,"web, web development, web applications, cms, object-oriented"
JSK Robotics Laboratory / The University of Tokyo,JSK is focusing on the fundamental functions & systems for intelligent robots .,ros,Science and Medicine,robotics
KDE Community,Experience Freedom!,"qt, c/c++, qml",End User Applications,"applications, desktop environment"
Kiwix,Internet content for people without internet access,"android, java, c++, python, qt",End User Applications,"offline, android"
LabLua,Programming Languages Research with emphasis on the Lua language,"lua, céu",Programming Languages and Development Tools,programming languages
